Artifacts,Fan-Out,LCOM2
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\include\qrm_mumps.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_amalg_tree.F90,3,1160.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_analyse.F90,6,399.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_ata_graph.F90,3,97.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_attach_singletons.F90,2,3.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_check_cperm.F90,2,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_compress_data.F90,3,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_compute_graph.F90,4,4.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_detect_singletons.F90,3,124.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_do_colamd.F90,5,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_do_metis.F90,5,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_do_ordering.F90,6,13.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_do_scotch.F90,5,3.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_elim_tree.F90,2,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_postorder.F90,1,247.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_print_tree.F90,2,623.6666666666666
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_reorder_tree.F90,3,411.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_rowcount.F90,3,38.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_rowperm.F90,3,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\analysis\qrm_symbolic.F90,5,1650.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\C\qrm_colamd_wrap.c,1,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\C\qrm_get_wtime.c,0,0.0
